# family	folder	unit	phase	identifier	flows	packet-types	records	codecs	index
Ui	DisplayScoreboard	DisplayScoreboard	Play	display_scoreboard	Clientbound	UiPackets.Clientbound.LegacyDisplayObjective	ClientboundLegacyDisplayObjectivePacket	ScoreboardCodecs.LegacyDisplayObjectiveV1_8	UiBindings
Ui	EditBook	EditBook	Play	edit_book	Serverbound	UiPackets.Serverbound.EditBook,UiPackets.Serverbound.LegacyEditBook	ServerboundEditBookPacket,ServerboundLegacyEditBookPacket	UiMiscCodecs.EditBookV1_13,UiMiscCodecs.EditBookV1_13_1,UiMiscCodecs.EditBookV1_13_2,UiMiscCodecs.EditBookV1_17	UiBindings
Entity	Entity	Entity	Play	entity	Clientbound	EntityPackets.Clientbound.Entity	ClientboundEntityPacket	EntityMoveCodecs.EntityV1_8	EntityBindings
Entity	EntityEvent	EntityEvent	Play	entity_event	Clientbound	EntityPackets.Clientbound.EntityEvent	ClientboundEntityEventPacket	EntityStateCodecs.EntityEvent	EntityBindings
Entity	EntityPositionSync	EntityPositionSync	Play	entity_position_sync	Clientbound	EntityPackets.Clientbound.EntityPositionSync	ClientboundEntityPositionSyncPacket	EntityMoveCodecs.EntityPositionSync	EntityBindings
World	Explode	Explode	Play	explode	Clientbound	WorldPackets.Clientbound.Explode	ClientboundExplodePacket	WorldEffectCodecs.ExplodeV1_17,WorldEffectCodecs.ExplodeV1_19_3,WorldEffectCodecs.ExplodeV1_20_3,WorldEffectCodecs.ExplodeV1_21_11,WorldEffectCodecs.ExplodeV1_21_2,WorldEffectCodecs.ExplodeV1_21_4,WorldEffectCodecs.ExplodeV1_21_5,WorldEffectCodecs.ExplodeV1_21_6,WorldEffectCodecs.ExplodeV1_21_9,WorldEffectCodecs.ExplodeV1_8,WorldEffectCodecs.ExplodeV26_1,WorldEffectCodecs.ExplodeV26_2	WorldBindings
World	ForgetLevelChunk	ForgetLevelChunk	Play	forget_level_chunk	Clientbound	WorldPackets.Clientbound.ForgetLevelChunk	ClientboundForgetLevelChunkPacket	WorldStateCodecs.ForgetLevelChunkV1_14,WorldStateCodecs.ForgetLevelChunkV1_9	WorldBindings
World	GameEvent	GameEvent	Play	game_event	Clientbound	WorldPackets.Clientbound.GameEvent	ClientboundGameEventPacket	WorldStateCodecs.GameEventV1_14,WorldStateCodecs.GameEventV1_8	WorldBindings
Entity	HurtAnimation	HurtAnimation	Play	hurt_animation	Clientbound	EntityPackets.Clientbound.HurtAnimation	ClientboundHurtAnimationPacket	EntityStateCodecs.HurtAnimation	EntityBindings
World	InitializeBorder	InitializeBorder	Play	initialize_border	Clientbound	WorldPackets.Clientbound.InitializeBorder	ClientboundInitializeBorderPacket	WorldBorderCodecs.InitializeBorderV1_17	WorldBindings
